time,remain,height,speed,pressure,longitude,latitude,attackAngle,sideslipAngle,dipAngle,heading,ballistic,heatFlow,FXGZ
9.5,10224739.02,99952.6735,7400.0385,15.4402,-105.8814,65.5005,13.3779,0,-0.7483,-36.8004,-0.0772,60.0751,0.0007
10,10221119.43,99947.559,7400.044,15.4547,-105.9287,65.5267,13.3779,0,-0.618,-36.8435,-0.0812,60.1034,0.0007
10.5,10217499.86,99942.1822,7400.0498,15.47,-105.9761,65.5529,13.378,0,-0.5007,-36.8867,-0.0853,60.1332,0.0007
11,10213880.29,99936.543,7400.056,15.486,-106.0236,65.579,13.378,0,-0.3951,-36.9299,-0.0894,60.1645,0.0007
11.5,10210260.74,99930.6414,7400.0625,15.5028,-106.0712,65.6052,13.378,0,-0.2146,-36.9733,-0.0934,60.1973,0.0007
12,10206641.19,99924.4776,7400.0693,15.5204,-106.1189,65.6313,13.378,0,-0.1377,-37.0167,-0.0975,60.2315,0.0007
12.5,10203021.66,99918.0513,7400.0765,15.5388,-106.1667,65.6575,13.378,0,-0.0684,-37.0603,-0.1015,60.2672,0.0007
13,10199402.13,99911.3629,7400.0834,15.5579,-106.2146,65.6836,21.9148,0,-0.0073,-37.1039,-0.1056,60.3044,0.0014
13.5,10195782.62,99904.4134,7400.0896,15.5778,-106.2626,65.7097,23.378,0,0,-37.1477,-0.1096,60.343,0.0014
14,10192163.11,99897.203,7400.0962,15.5984,-106.3107,65.7357,23.378,0,0,-37.1915,-0.1137,60.3831,0.0014
14.5,10188543.62,99889.7318,7400.1031,15.6199,-106.3589,65.7618,23.378,0,0,-37.2354,-0.1177,60.4247,0.0014
15,10184924.13,99881.9998,7400.1103,15.6421,-106.4072,65.7879,23.3781,0,0,-37.2795,-0.1217,60.4678,0.0014
15.5,10181304.65,99874.007,7400.1179,15.6651,-106.4556,65.8139,23.3781,0,0,-37.3236,-0.1258,60.5124,0.0014
16,10177685.18,99865.7533,7400.1258,15.6889,-106.5041,65.8399,23.3781,0,0,-37.3678,-0.1298,60.5584,0.0014
16.5,10174065.72,99857.2389,7400.134,15.7134,-106.5526,65.8659,23.3781,0,0,-37.4122,-0.1339,60.606,0.0014
17,10170446.27,99848.4637,7400.1425,15.7388,-106.6013,65.8919,23.3781,0,0,-37.4566,-0.1379,60.655,0.0014
17.5,10166826.82,99839.4277,7400.1514,15.765,-106.6501,65.9179,23.3781,0,0,-37.5011,-0.1419,60.7056,0.0014
18,10163207.39,99830.1309,7400.1606,15.7919,-106.699,65.9438,23.3781,0,0,-37.5457,-0.146,60.7577,0.0014
18.5,10159587.96,99820.5733,7400.1701,15.8197,-106.748,65.9698,23.3782,0,0,-37.5905,-0.15,60.8112,0.0015
19,10155968.53,99810.7549,7400.18,15.8483,-106.797,65.9957,23.3782,0,0,-37.6353,-0.1541,60.8663,0.0015
19.5,10152349.12,99800.6758,7400.1902,15.8777,-106.8462,66.0216,23.3782,0,0,-37.6802,-0.1581,60.9229,0.0015
20,10148729.71,99790.3359,7400.2007,15.9079,-106.8955,66.0475,23.3782,0,0,-37.7253,-0.1621,60.981,0.0015
20.5,10145110.31,99779.7353,7400.2116,15.9389,-106.9449,66.0734,23.3782,0,0,-37.7704,-0.1662,61.0407,0.0015
21,10141490.91,99768.874,7400.2228,15.9708,-106.9943,66.0992,23.3783,0,0,-37.8156,-0.1702,61.1019,0.0015
21.5,10137871.52,99757.7519,7400.2343,16.0035,-107.0439,66.1251,23.3783,0,0,-37.8609,-0.1742,61.1646,0.0015
22,10134252.14,99746.3691,7400.2462,16.037,-107.0936,66.1509,23.3783,0,0,-37.9064,-0.1783,61.2289,0.0015
22.5,10130632.76,99734.7255,7400.2583,16.0714,-107.1434,66.1767,23.3783,0,0,-37.9519,-0.1823,61.2947,0.0015
23,10127013.38,99722.8213,7400.2708,16.1066,-107.1933,66.2025,23.3783,0,0,-37.9976,-0.1863,61.362,0.0015
23.5,10123394.01,99710.6563,7400.2837,16.1427,-107.2432,66.2283,23.3784,0,0,-38.0433,-0.1904,61.4309,0.0015
24,10119774.65,99698.2307,7400.2968,16.1796,-107.2933,66.2541,23.3784,0,0,-38.0891,-0.1944,61.5014,0.0015
24.5,10116155.29,99685.5444,7400.3103,16.2174,-107.3435,66.2798,23.3784,0,0,-38.1351,-0.1985,61.5734,0.0015
25,10112535.93,99672.5974,7400.3241,16.2561,-107.3938,66.3056,23.3784,0,0,-38.1811,-0.2025,61.6471,0.0015
